PassengerId,target,Age,SibSp,Parch,Fare,Sex F,Pclass_1,Pclass_2,Pclass_3,probabilidade,classificacao
52,0,21.0,0,0,7.8,0,0,0,1,0.15158324014639624,0
53,1,49.0,1,0,76.7292,1,1,0,0,0.9107189533812095,1
54,1,29.0,1,0,26.0,1,0,1,0,0.8130125943485869,1
55,0,65.0,0,1,61.9792,0,1,0,0,0.23948101368184752,0
56,1,0.0,0,0,35.5,0,1,0,0,0.3492798788692021,0
57,1,21.0,0,0,10.5,1,0,1,0,0.8469359274640839,1
58,0,28.5,0,0,7.2292,0,0,0,1,0.13589921375626976,0
59,1,5.0,1,2,27.75,1,0,1,0,0.8829987778506997,1
60,0,11.0,5,2,46.9,0,0,0,1,0.12701951048866453,0
61,0,22.0,0,0,7.2292,0,0,0,1,0.13434439622029062,0
62,1,38.0,0,0,80.0,1,1,0,0,0.9125218458640835,1
63,0,45.0,1,0,83.475,0,1,0,0,0.3603086281528712,0
64,0,4.0,3,2,27.9,0,0,0,1,0.2219861240574093,0
65,0,0.0,0,0,27.7208,0,1,0,0,0.3338103725726197,0
66,1,0.0,1,1,15.2458,0,0,0,1,0.3489472854893112,0
67,1,29.0,0,0,10.5,1,0,1,0,0.847448248531199,1
68,0,19.0,0,0,8.1583,0,0,0,1,0.15283358528981963,0
69,1,17.0,4,2,7.925,1,0,0,1,0.5609887570712196,1
70,0,26.0,2,0,8.6625,0,0,0,1,0.1303840787797655,0
71,0,32.0,0,0,10.5,0,0,1,0,0.1552088823684429,0
72,0,16.0,5,2,46.9,1,0,0,1,0.2515385227594558,0
73,0,21.0,0,0,73.5,0,0,1,0,0.26511848806318156,0
74,0,26.0,1,0,14.4542,0,0,0,1,0.1354052142868943,0
75,1,32.0,0,0,56.4958,0,0,0,1,0.4568262553809197,0
76,0,25.0,0,0,7.65,0,0,0,1,0.13496953254498847,0
77,0,0.0,0,0,7.8958,0,0,0,1,0.13543526954677268,0
78,0,0.0,0,0,8.05,0,0,0,1,0.14445306483206696,0
79,1,0.83,0,2,29.0,0,0,1,0,0.5672371539510627,1
80,1,30.0,0,0,12.475,1,0,0,1,0.5267457323689202,1
81,0,22.0,0,0,9.0,0,0,0,1,0.15063593866565414,0
82,1,29.0,0,0,9.5,0,0,0,1,0.18759100405550838,0
83,1,0.0,0,0,7.7875,1,0,0,1,0.6722393561461867,1
84,0,28.0,0,0,47.1,0,1,0,0,0.33650930132242857,0
85,1,17.0,0,0,10.5,1,0,1,0,0.8669998398957575,1
86,1,33.0,3,0,15.85,1,0,0,1,0.5482914787605764,1
87,0,16.0,1,3,34.375,0,0,0,1,0.2170899504371498,0
88,0,0.0,0,0,8.05,0,0,0,1,0.14489120547272072,0
89,1,23.0,3,2,263.0,1,1,0,0,0.8624498685467697,1
90,0,24.0,0,0,8.05,0,0,0,1,0.15327868145325652,0
91,0,29.0,0,0,8.05,0,0,0,1,0.16242082309109437,0
92,0,20.0,0,0,7.8542,0,0,0,1,0.14401434392620704,0
93,0,46.0,1,0,61.175,0,1,0,0,0.3396863757893471,0
94,0,26.0,1,2,20.575,0,0,0,1,0.25207033257921524,0
95,0,59.0,0,0,7.25,0,0,0,1,0.11545749755739029,0
96,0,0.0,0,0,8.05,0,0,0,1,0.14476490921097077,0
97,0,71.0,0,0,34.6542,0,1,0,0,0.23739650923830335,0
98,1,23.0,0,1,63.3583,0,1,0,0,0.38994500672489363,0
99,1,34.0,0,1,23.0,1,0,1,0,0.888265915568024,1
100,0,34.0,1,0,26.0,0,0,1,0,0.16660169401948538,0
101,0,28.0,0,0,7.8958,1,0,0,1,0.5280048284343879,1
102,0,0.0,0,0,7.8958,0,0,0,1,0.1354848047071172,0
103,0,21.0,0,1,77.2875,0,1,0,0,0.33820000960232804,0
104,0,33.0,0,0,8.6542,0,0,0,1,0.1394490475769808,0
105,0,37.0,2,0,7.925,0,0,0,1,0.13336363372222235,0
106,0,28.0,0,0,7.8958,0,0,0,1,0.14349544459732513,0
107,1,21.0,0,0,7.65,1,0,0,1,0.6055492496050218,1
108,1,0.0,0,0,7.775,0,0,0,1,0.15753278617223723,0
109,0,38.0,0,0,7.8958,0,0,0,1,0.13040800420152626,0
110,1,0.0,1,0,24.15,1,0,0,1,0.5388681785199281,1
111,0,47.0,0,0,52.0,0,1,0,0,0.28953851027106936,0
112,0,14.5,1,0,14.4542,1,0,0,1,0.4697358133259443,0
113,0,22.0,0,0,8.05,0,0,0,1,0.152910156982585,0
114,0,20.0,1,0,9.825,1,0,0,1,0.42554932867616424,0
115,0,17.0,0,0,14.4583,1,0,0,1,0.4885216215825408,0
116,0,21.0,0,0,7.925,0,0,0,1,0.15473506273896454,0
117,0,70.5,0,0,7.75,0,0,0,1,0.12405090337823443,0
118,0,29.0,1,0,21.0,0,0,1,0,0.148804205248867,0
119,0,24.0,0,1,247.5208,0,1,0,0,0.35674753433037165,0
120,0,2.0,4,2,31.275,1,0,0,1,0.25304747018120427,0
121,0,21.0,2,0,73.5,0,0,1,0,0.18600273902300643,0
122,0,0.0,0,0,8.05,0,0,0,1,0.14797916969064603,0
123,0,32.5,1,0,30.0708,0,0,1,0,0.2078925318854746,0
124,1,32.5,0,0,13.0,1,0,1,0,0.8485621188040793,1
125,0,54.0,0,1,77.2875,0,1,0,0,0.3028623989032576,0
126,1,12.0,1,0,11.2417,0,0,0,1,0.16785450909325025,0
127,0,0.0,0,0,7.75,0,0,0,1,0.15023720570848956,0
128,1,24.0,0,0,7.1417,0,0,0,1,0.15493961574360635,0
129,1,0.0,1,1,22.3583,1,0,0,1,0.5694145239232578,1
130,0,45.0,0,0,6.975,0,0,0,1,0.10556806070558054,0
131,0,33.0,0,0,7.8958,0,0,0,1,0.1307363777828429,0
132,0,20.0,0,0,7.05,0,0,0,1,0.1139223942334687,0
133,0,47.0,1,0,14.5,1,0,0,1,0.3522340191522536,0
134,1,29.0,1,0,26.0,1,0,1,0,0.811825404458577,1
135,0,25.0,0,0,13.0,0,0,1,0,0.10494214373372078,0
136,0,23.0,0,0,15.0458,0,0,1,0,0.12896897805103222,0
137,1,19.0,0,2,26.2833,1,1,0,0,0.8401933586832263,1
138,0,37.0,1,0,53.1,0,1,0,0,0.36427800266763666,0
139,0,16.0,0,0,9.2167,0,0,0,1,0.15914499589077136,0
140,0,24.0,0,0,79.2,0,1,0,0,0.3341056438240675,0
141,0,0.0,0,2,15.2458,1,0,0,1,0.5415346800265228,1
142,1,22.0,0,0,7.75,1,0,0,1,0.5791081469505366,1
143,1,24.0,1,0,15.85,1,0,0,1,0.49100696291303514,0
144,0,19.0,0,0,6.75,0,0,0,1,0.10911712854943716,0
145,0,18.0,0,0,11.5,0,0,1,0,0.10708260730090692,0
146,0,19.0,1,1,36.75,0,0,1,0,0.3836994249276895,0
147,1,27.0,0,0,7.7958,0,0,0,1,0.14290268356606883,0
148,0,9.0,2,2,34.375,1,0,0,1,0.38298669466245927,0
149,0,36.5,0,2,26.0,0,0,1,0,0.3212702598758316,0
150,0,42.0,0,0,13.0,0,0,1,0,0.09344302978708005,0
151,0,51.0,0,0,12.525,0,0,1,0,0.08510010504331776,0
152,1,22.0,1,0,66.6,1,1,0,0,0.9201212188353887,1
153,0,55.5,0,0,8.05,0,0,0,1,0.13879331872097903,0
154,0,40.5,0,2,14.5,0,0,0,1,0.20642584038844658,0
155,0,0.0,0,0,7.3125,0,0,0,1,0.11310787210259522,0
156,0,51.0,0,1,61.3792,0,1,0,0,0.3310909653390129,0
157,1,16.0,0,0,7.7333,1,0,0,1,0.6103613877869937,1
158,0,30.0,0,0,8.05,0,0,0,1,0.16294144219803175,0
159,0,0.0,0,0,8.6625,0,0,0,1,0.14324496398113284,0
160,0,0.0,8,2,69.55,0,0,0,1,0.20994258200731228,0
161,0,44.0,0,1,16.1,0,0,0,1,0.2309515225385415,0
162,1,40.0,0,0,15.75,1,0,1,0,0.8443097979589155,1
163,0,26.0,0,0,7.775,0,0,0,1,0.1357842416662339,0
164,0,17.0,0,0,8.6625,0,0,0,1,0.15508361019341402,0
165,0,1.0,4,1,39.6875,0,0,0,1,0.19387650892379354,0
166,1,9.0,0,2,20.525,0,0,0,1,0.4191725905958362,0
167,1,0.0,0,1,55.0,1,1,0,0,0.8841198443732177,1
168,0,45.0,1,4,27.9,1,0,0,1,0.2349430841186446,0
169,0,0.0,0,0,25.925,0,1,0,0,0.22103632001849036,0
170,0,28.0,0,0,56.4958,0,0,0,1,0.42718441818765235,0
171,0,61.0,0,0,33.5,0,1,0,0,0.23553717728284165,0
172,0,4.0,4,1,29.125,0,0,0,1,0.2186158383676624,0
173,1,1.0,1,1,11.1333,1,0,0,1,0.5917673350008323,1
174,0,21.0,0,0,7.925,0,0,0,1,0.15340959647421545,0
175,0,56.0,0,0,30.6958,0,1,0,0,0.2660346408965626,0
176,0,18.0,1,1,7.8542,0,0,0,1,0.22727436975185514,0
177,0,0.0,3,1,25.4667,0,0,0,1,0.2242674846708212,0
178,0,50.0,0,0,28.7125,1,1,0,0,0.64641287795523,1
179,0,30.0,0,0,13.0,0,0,1,0,0.10640940671284217,0
180,0,36.0,0,0,0.0,0,0,0,1,0.09228563394097795,0
181,0,0.0,8,2,69.55,1,0,0,1,0.21754400668330426,0
182,0,0.0,0,0,15.05,0,0,1,0,0.2206798131401565,0
183,0,9.0,4,2,31.3875,0,0,0,1,0.1988443073130144,0
184,1,1.0,2,1,39.0,0,0,1,0,0.5870033050524326,1
185,1,4.0,0,2,22.025,1,0,0,1,0.618794589511542,1
186,0,0.0,0,0,50.0,0,1,0,0,0.2753560488883394,0
187,1,0.0,1,0,15.5,1,0,0,1,0.5438991313636441,1
188,1,45.0,0,0,26.55,0,1,0,0,0.31285220077405024,0
189,0,40.0,1,1,15.5,0,0,0,1,0.19808903518507262,0
190,0,36.0,0,0,7.8958,0,0,0,1,0.12392096611575265,0
191,1,32.0,0,0,13.0,1,0,1,0,0.8496095574660341,1
192,0,19.0,0,0,13.0,0,0,1,0,0.11288501843461955,0
193,1,19.0,1,0,7.8542,1,0,0,1,0.4817332702702498,0
194,1,3.0,1,1,26.0,0,0,1,0,0.6360226112856379,1
195,1,44.0,0,0,27.7208,1,1,0,0,0.748183315843724,1
196,1,58.0,0,0,146.5208,1,1,0,0,0.9268768147830625,1
197,0,0.0,0,0,7.75,0,0,0,1,0.13457126517391413,0
198,0,42.0,0,1,8.4042,0,0,0,1,0.19120166442558456,0
199,1,0.0,0,0,7.75,1,0,0,1,0.6463108416618333,1
200,0,24.0,0,0,13.0,1,0,1,0,0.8503420517144429,1
201,0,28.0,0,0,9.5,0,0,0,1,0.15597828495826774,0
202,0,0.0,8,2,69.55,0,0,0,1,0.22927100337460898,0
203,0,34.0,0,0,6.4958,0,0,0,1,0.0924654736171312,0
204,0,45.5,0,0,7.225,0,0,0,1,0.11100699630073156,0
205,1,18.0,0,0,8.05,0,0,0,1,0.16330888929029394,0
206,0,2.0,0,1,10.4625,1,0,0,1,0.6009982729645987,1
207,0,32.0,1,0,15.85,0,0,0,1,0.19783672042874806,0
208,1,26.0,0,0,18.7875,0,0,0,1,0.17056139674801085,0
209,1,16.0,0,0,7.75,1,0,0,1,0.6163399963495569,1
210,1,40.0,0,0,31.0,0,1,0,0,0.3435160873030016,0
211,0,24.0,0,0,7.05,0,0,0,1,0.1060447048382137,0
212,1,35.0,0,0,21.0,1,0,1,0,0.856662599868148,1
213,0,22.0,0,0,7.25,0,0,0,1,0.12063437840136793,0
214,0,30.0,0,0,13.0,0,0,1,0,0.10961119969397917,0
215,0,0.0,1,0,7.75,0,0,0,1,0.12957742297821354,0
216,1,31.0,1,0,113.275,1,1,0,0,0.9606799076926387,1
217,1,27.0,0,0,7.925,1,0,0,1,0.4974512418097024,0
218,0,42.0,1,0,27.0,0,0,1,0,0.19368679731678787,0
219,1,32.0,0,0,76.2917,1,1,0,0,0.9594506193539641,1
220,0,30.0,0,0,10.5,0,0,1,0,0.10339582719123745,0
221,1,16.0,0,0,8.05,0,0,0,1,0.1673719259241144,0
222,0,27.0,0,0,13.0,0,0,1,0,0.10773722828897468,0
223,0,51.0,0,0,8.05,0,0,0,1,0.14489233190187797,0
224,0,0.0,0,0,7.8958,0,0,0,1,0.12847578376843966,0
225,1,38.0,1,0,90.0,0,1,0,0,0.44579350407687235,0
226,0,22.0,0,0,9.35,0,0,0,1,0.14753609091297085,0
227,1,19.0,0,0,10.5,0,0,1,0,0.10486819173212097,0
228,0,20.5,0,0,7.25,0,0,0,1,0.12034110489319516,0
229,0,18.0,0,0,13.0,0,0,1,0,0.11595047581404047,0
230,0,0.0,3,1,25.4667,1,0,0,1,0.29357596348255177,0
231,1,35.0,1,0,83.475,1,1,0,0,0.9596270873815391,1
232,0,29.0,0,0,7.775,0,0,0,1,0.14494637545069022,0
233,0,59.0,0,0,13.5,0,0,1,0,0.07689804389655072,0
234,1,5.0,4,2,31.3875,1,0,0,1,0.33955624323961653,0
235,0,24.0,0,0,10.5,0,0,1,0,0.09803661196100845,0
236,0,0.0,0,0,7.55,1,0,0,1,0.5978451224109543,1
237,0,44.0,1,0,26.0,0,0,1,0,0.14623071057545708,0
238,1,8.0,0,2,26.25,1,0,1,0,0.9272709532121062,1
239,0,19.0,0,0,10.5,0,0,1,0,0.10482057268450193,0
240,0,33.0,0,0,12.275,0,0,1,0,0.09295258177236938,0
241,0,0.0,1,0,14.4542,1,0,0,1,0.5205402361390716,1
242,1,0.0,1,0,15.5,1,0,0,1,0.5323287254167486,1
243,0,29.0,0,0,10.5,0,0,1,0,0.10115055785916165,0
244,0,22.0,0,0,7.125,0,0,0,1,0.10467476658485968,0
245,0,30.0,0,0,7.225,0,0,0,1,0.1305607581513142,0
246,0,44.0,2,0,90.0,0,1,0,0,0.4301698957651233,0
247,0,25.0,0,0,7.775,1,0,0,1,0.500255880991864,1
248,1,24.0,0,2,14.5,1,0,1,0,0.8878912179195596,1
249,1,37.0,1,1,52.5542,0,1,0,0,0.3923702894597771,0
250,0,54.0,1,0,26.0,0,0,1,0,0.13129656020277247,0
251,0,0.0,0,0,7.25,0,0,0,1,0.11064696998378482,0
252,0,29.0,1,1,10.4625,1,0,0,1,0.4068370464525348,0
253,0,62.0,0,0,26.55,0,1,0,0,0.22743695037808861,0
254,0,30.0,1,0,16.1,0,0,0,1,0.1556424633052839,0
255,0,41.0,0,2,20.2125,1,0,0,1,0.4114758225547931,0
256,1,29.0,0,2,15.2458,1,0,0,1,0.4481628004897117,0
257,1,0.0,0,0,79.2,1,1,0,0,0.9519579046814951,1
258,1,30.0,0,0,86.5,1,1,0,0,0.9661832737055986,1
259,1,35.0,0,0,512.3292,1,1,0,0,0.963662407006423,1
260,1,50.0,0,1,26.0,1,0,1,0,0.8608347436954528,1
261,0,0.0,0,0,7.75,0,0,0,1,0.13340480672272512,0
262,1,3.0,4,2,31.3875,0,0,0,1,0.29675549043883775,0
263,0,52.0,1,1,79.65,0,1,0,0,0.40104063593822636,0
264,0,40.0,0,0,0.0,0,1,0,0,0.14926885241512952,0
265,0,0.0,0,0,7.75,1,0,0,1,0.6245505872008322,1
266,0,36.0,0,0,10.5,0,0,1,0,0.09140586525320435,0
267,0,16.0,4,1,39.6875,0,0,0,1,0.15795959837145626,0
268,1,25.0,1,0,7.775,0,0,0,1,0.12056990450614759,0
269,1,58.0,0,1,153.4625,1,1,0,0,0.9280014094673731,1
270,1,35.0,0,0,135.6333,1,1,0,0,0.9696735409818955,1
271,0,0.0,0,0,31.0,0,1,0,0,0.3093975886103658,0
272,1,25.0,0,0,0.0,0,0,0,1,0.10155958405435989,0
273,1,41.0,0,1,19.5,1,0,1,0,0.8805857076318749,1
274,0,37.0,0,1,29.7,0,1,0,0,0.344220671439317,0
275,1,0.0,0,0,7.75,1,0,0,1,0.6358300317721897,1
276,1,63.0,1,0,77.9583,1,1,0,0,0.9490991321785593,1
277,0,45.0,0,0,7.75,1,0,0,1,0.45293463875271534,0
278,0,0.0,0,0,0.0,0,0,1,0,0.1349288279772485,0
279,0,7.0,4,1,29.125,0,0,0,1,0.19288091963089452,0
280,1,35.0,1,1,20.25,1,0,0,1,0.5021875935900939,1
281,0,65.0,0,0,7.75,0,0,0,1,0.12145433386055825,0
282,0,28.0,0,0,7.8542,0,0,0,1,0.1444381999323274,0
283,0,16.0,0,0,9.5,0,0,0,1,0.16866655397803623,0
284,1,19.0,0,0,8.05,0,0,0,1,0.16045020088880133,0
285,0,0.0,0,0,26.0,0,1,0,0,0.23705672585087723,0
286,0,33.0,0,0,8.6625,0,0,0,1,0.14994962655258298,0
287,1,30.0,0,0,9.5,0,0,0,1,0.17175125244213066,0
288,0,22.0,0,0,7.8958,0,0,0,1,0.14215613926486326,0
289,1,42.0,0,0,13.0,0,0,1,0,0.0996855521534274,0
290,1,22.0,0,0,7.75,1,0,0,1,0.5649471709418632,1
291,1,26.0,0,0,78.85,1,1,0,0,0.9288160053109338,1
292,1,19.0,1,0,91.0792,1,1,0,0,0.9634675389450397,1
293,0,36.0,0,0,12.875,0,0,1,0,0.09778526003827132,0
294,0,24.0,0,0,8.85,1,0,0,1,0.463602502421927,0
295,0,24.0,0,0,7.8958,0,0,0,1,0.13997134885521129,0
296,0,0.0,0,0,27.7208,0,1,0,0,0.3046588885372658,0
297,0,23.5,0,0,7.2292,0,0,0,1,0.12122603202875154,0
298,0,2.0,1,2,151.55,1,1,0,0,0.8768546437833841,1
299,1,0.0,0,0,30.5,0,1,0,0,0.31277594961570065,0
300,1,50.0,0,1,247.5208,1,1,0,0,0.934269559060754,1
301,1,0.0,0,0,7.75,1,0,0,1,0.6371309346770506,1
302,1,0.0,2,0,23.25,0,0,0,1,0.14900303309582888,0
303,0,19.0,0,0,0.0,0,0,0,1,0.10329468883681638,0
304,1,0.0,0,0,12.35,1,0,1,0,0.8641308651301589,1
305,0,0.0,0,0,8.05,0,0,0,1,0.14695888919135566,0
306,1,0.92,1,2,151.55,0,1,0,0,0.5078936478724837,1
307,1,0.0,0,0,110.8833,1,1,0,0,0.9594903128960851,1
308,1,17.0,1,0,108.9,1,1,0,0,0.9630831903491168,1
309,0,30.0,1,0,24.0,0,0,1,0,0.15880914027827658,0
310,1,30.0,0,0,56.9292,1,1,0,0,0.9502583314875174,1
311,1,24.0,0,0,83.1583,1,1,0,0,0.9639590888259175,1
312,1,18.0,2,2,262.375,1,1,0,0,0.9124811054353295,1
313,0,26.0,1,1,26.0,1,0,1,0,0.8109783064819305,1
314,0,28.0,0,0,7.8958,0,0,0,1,0.1417946053320248,0
315,0,43.0,1,1,26.25,0,0,1,0,0.2950610829521752,0
316,1,26.0,0,0,7.8542,1,0,0,1,0.5086004014280502,1
317,1,24.0,1,0,26.0,1,0,1,0,0.8492902349529238,1
318,0,54.0,0,0,14.0,0,0,1,0,0.10544305047085323,0
319,1,31.0,0,2,164.8667,1,1,0,0,0.9052719219969234,1
320,1,40.0,1,1,134.5,1,1,0,0,0.9421814979595367,1
321,0,22.0,0,0,7.25,0,0,0,1,0.12039338397058122,0
322,0,27.0,0,0,7.8958,0,0,0,1,0.14142228675896742,0
323,1,30.0,0,0,12.35,1,0,1,0,0.8571513293547709,1
324,1,22.0,1,1,29.0,1,0,1,0,0.905594885913762,1
325,0,0.0,8,2,69.55,0,0,0,1,0.23048793434146414,0
326,1,36.0,0,0,135.6333,1,1,0,0,0.9723532271412116,1
327,0,61.0,0,0,6.2375,0,0,0,1,0.09508768608163477,0
328,1,36.0,0,0,13.0,1,0,1,0,0.8617140060822186,1
329,1,31.0,1,1,20.525,1,0,0,1,0.5048161486655063,1
330,1,16.0,0,1,57.9792,1,1,0,0,0.9475676733260945,1
331,1,0.0,2,0,23.25,1,0,0,1,0.5414138072395381,1
332,0,45.5,0,0,28.5,0,1,0,0,0.3227658604519584,0
333,0,38.0,0,1,153.4625,0,1,0,0,0.38452635156739784,0
334,0,16.0,2,0,18.0,0,0,0,1,0.14342643271079802,0
335,1,0.0,1,0,133.65,1,1,0,0,0.9649113401302819,1
336,0,0.0,0,0,7.8958,0,0,0,1,0.12947886957576663,0
337,0,29.0,1,0,66.6,0,1,0,0,0.39719489994314716,0
338,1,41.0,0,0,134.5,1,1,0,0,0.967180417665675,1
339,1,45.0,0,0,8.05,0,0,0,1,0.16202826440674453,0
340,0,45.0,0,0,35.5,0,1,0,0,0.3367882588984375,0
341,1,2.0,1,1,26.0,0,0,1,0,0.6502046413655602,1
342,1,24.0,3,2,263.0,1,1,0,0,0.8553742748917206,1
343,0,28.0,0,0,13.0,0,0,1,0,0.11440990416719793,0
344,0,25.0,0,0,13.0,0,0,1,0,0.11247501888652767,0
345,0,36.0,0,0,13.0,0,0,1,0,0.10677201522121679,0
346,1,24.0,0,0,13.0,1,0,1,0,0.8629646041244148,1
347,1,40.0,0,0,13.0,1,0,1,0,0.8613500912127343,1
348,1,0.0,1,0,16.1,1,0,0,1,0.5701934738285543,1
349,1,3.0,1,1,15.9,0,0,0,1,0.48627649577980275,0
350,0,42.0,0,0,8.6625,0,0,0,1,0.1425643691010344,0
351,0,23.0,0,0,9.225,0,0,0,1,0.14979053957240782,0
352,0,0.0,0,0,35.0,0,1,0,0,0.32027822070621476,0
353,0,15.0,1,1,7.2292,0,0,0,1,0.21498601402142264,0
354,0,25.0,1,0,17.8,0,0,0,1,0.14648933669118255,0
355,0,0.0,0,0,7.225,0,0,0,1,0.1153837931713864,0
356,0,28.0,0,0,9.5,0,0,0,1,0.1600092092298181,0
357,1,22.0,0,1,55.0,1,1,0,0,0.9412503230938587,1
358,0,38.0,0,0,13.0,1,0,1,0,0.8606687975064405,1
359,1,0.0,0,0,7.8792,1,0,0,1,0.6124487633491131,1
360,1,0.0,0,0,7.8792,1,0,0,1,0.6124487633491131,1
361,0,40.0,1,4,27.9,0,0,0,1,0.15112403044817804,0
362,0,29.0,1,0,27.7208,0,0,1,0,0.2216880156255453,0
363,0,45.0,0,1,14.4542,1,0,0,1,0.39148952480890076,0
364,0,35.0,0,0,7.05,0,0,0,1,0.09607329254109412,0
365,0,0.0,1,0,15.5,0,0,0,1,0.14327040826857002,0
366,0,30.0,0,0,7.25,0,0,0,1,0.12947864821762034,0
367,1,60.0,1,0,75.25,1,1,0,0,0.9545703166109877,1
368,1,0.0,0,0,7.2292,1,0,0,1,0.6069637117940939,1
369,1,0.0,0,0,7.75,1,0,0,1,0.6328001974365184,1
370,1,24.0,0,0,69.3,1,1,0,0,0.9537279501334389,1
371,1,25.0,1,0,55.4417,0,1,0,0,0.44237503655014243,0
372,0,18.0,1,0,6.4958,0,0,0,1,0.09596830033472928,0
373,0,19.0,0,0,8.05,0,0,0,1,0.1566080029167886,0
374,0,22.0,0,0,135.6333,0,1,0,0,0.4235603497222533,0
375,0,3.0,3,1,21.075,1,0,0,1,0.39981491827034155,0
376,1,0.0,1,0,82.1708,1,1,0,0,0.9615664467183987,1
377,1,22.0,0,0,7.25,1,0,0,1,0.5421279098499495,1
378,0,27.0,0,2,211.5,0,1,0,0,0.3993267254719962,0
379,0,20.0,0,0,4.0125,0,0,0,1,0.10571220947629938,0
380,0,19.0,0,0,7.775,0,0,0,1,0.13745634417768884,0
381,1,42.0,0,0,227.525,1,1,0,0,0.9591818923124189,1
382,1,1.0,0,2,15.7417,1,0,0,1,0.6262597903323075,1
383,0,32.0,0,0,7.925,0,0,0,1,0.18598660385388857,0
384,1,35.0,1,0,52.0,1,1,0,0,0.9225288590833555,1
385,0,0.0,0,0,7.8958,0,0,0,1,0.129241344256234,0
386,0,18.0,0,0,73.5,0,0,1,0,0.2816024399047608,0
387,0,1.0,5,2,46.9,0,0,0,1,0.20633964205868136,0
388,1,36.0,0,0,13.0,1,0,1,0,0.859269126668355,1
389,0,0.0,0,0,7.7292,0,0,0,1,0.12054348087340007,0
390,1,17.0,0,0,12.0,1,0,1,0,0.8620816169963486,1
391,1,36.0,1,2,120.0,0,1,0,0,0.5153667377339096,1
392,1,21.0,0,0,7.7958,0,0,0,1,0.15197964140464448,0
393,0,28.0,2,0,7.925,0,0,0,1,0.15107739686178562,0
